            mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
alpha     68.268  0.967  66.539   70.223      0.033    0.023     894.0    1503.0    1.0
beta       5.762  0.113   5.549    5.975      0.004    0.003     905.0    1490.0    1.0
a_id[0]   -1.027  1.118  -3.139    1.037      0.033    0.023    1203.0    1986.0    1.0
a_id[1]    4.337  1.126   2.152    6.374      0.031    0.022    1322.0    2117.0    1.0
a_id[2]   -4.943  1.129  -7.127   -2.871      0.032    0.023    1222.0    2210.0    1.0
a_id[3]    3.498  1.135   1.289    5.563      0.033    0.023    1203.0    2086.0    1.0
a_id[4]    1.439  1.116  -0.583    3.650      0.033    0.023    1176.0    2041.0    1.0
a_id[5]   -2.756  1.121  -4.864   -0.666      0.032    0.023    1261.0    2116.0    1.0
a_id[6]    0.804  1.130  -1.316    2.932      0.031    0.022    1341.0    1957.0    1.0
a_id[7]    0.611  1.119  -1.500    2.757      0.032    0.023    1189.0    2008.0    1.0
a_id[8]    2.957  1.132   0.827    5.069      0.033    0.023    1201.0    2055.0    1.0
a_id[9]    0.409  1.128  -1.698    2.573      0.032    0.023    1271.0    2040.0    1.0
a_id[10]  -2.160  1.128  -4.244   -0.030      0.033    0.023    1214.0    2130.0    1.0
a_id[11]  -2.502  1.123  -4.533   -0.254      0.032    0.022    1282.0    2171.0    1.0
a_id[12]   3.960  1.129   1.705    5.961      0.034    0.024    1102.0    1941.0    1.0
a_id[13]  -6.866  1.133  -8.997   -4.688      0.032    0.023    1237.0    2221.0    1.0
a_id[14]   1.677  1.123  -0.483    3.771      0.032    0.023    1223.0    2166.0    1.0
b_id[0]    0.471  0.126   0.237    0.713      0.004    0.003    1110.0    1920.0    1.0
b_id[1]   -0.186  0.127  -0.426    0.049      0.004    0.003    1103.0    1852.0    1.0
b_id[2]   -0.285  0.128  -0.525   -0.052      0.004    0.003    1114.0    1935.0    1.0
b_id[3]   -0.792  0.127  -1.033   -0.561      0.004    0.003    1111.0    2029.0    1.0
b_id[4]    0.092  0.126  -0.147    0.324      0.004    0.003    1128.0    1846.0    1.0
